"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.821188334E-1,-5.569642844E-2,-1.827061933E-1,-4.103704584E-1,4.526450688E-1
6.920708333E-1,-3.332142186E-1,-3.847035205E-1,-4.795465279E-1,6.992806208E-1
7.020218333E-1,-5.628500916E-1,-5.029067391E-1,-5.049234438E-1,9.081096288E-1
7.119738333E-1,-7.133113392E-1,-4.486776146E-1,-6.603143692E-2,8.452720385E-1
7.219248334E-1,-7.026614399E-1,-2.776211214E-1,3.868985653E-1,8.488209976E-1
7.318768334E-1,-5.837558976E-1,-2.908273503E-1,1.877751446E-1,6.786832844E-1
7.418288334E-1,-4.724227189E-1,-3.758528826E-1,9.160832763E-2,6.106068296E-1
7.517798333E-1,-3.669819986E-1,-3.499695978E-1,2.161376488E-1,5.512440384E-1
7.617318333E-1,-1.682015902E-1,-3.344405624E-1,1.493115753E-1,4.030337594E-1
7.716828334E-1,1.781640762E-1,-2.479853860E-1,5.821546376E-2,3.108508162E-1
7.816348334E-1,2.728574862E-1,-5.871013820E-2,2.043239343E-1,3.458993470E-1
7.915868334E-1,1.441433676E-1,9.030030549E-2,2.510028416E-1,3.032060060E-1
8.015378334E-1,-8.291245814E-2,6.035115927E-2,9.587036312E-2,1.403847024E-1
8.114898333E-1,-2.737136830E-1,-5.547955155E-2,-1.591027379E-3,2.792842500E-1
8.214408333E-1,-4.192595783E-1,-9.549760312E-2,-1.579800725E-2,4.302882328E-1
8.313928334E-1,-6.145094745E-1,-1.797951570E-1,9.274327219E-2,6.469540225E-1
8.413448334E-1,-7.553077962E-1,-3.076702550E-1,1.698896813E-1,8.330746405E-1
8.512958334E-1,-5.176019980E-1,-3.467714632E-1,2.169258535E-1,6.597113778E-1
8.612478334E-1,2.618054263E-3,-2.102749380E-1,2.546667069E-1,3.302688835E-1
8.711988333E-1,5.551907873E-1,1.500220120E-2,2.419811726E-1,6.058190854E-1
8.811508333E-1,8.779756562E-1,3.049553928E-1,1.697084177E-1,9.447962699E-1
8.911028334E-1,9.516466266E-1,5.518224987E-1,6.989176869E-3,1.100085551E0
9.010538334E-1,8.408644018E-1,6.377400237E-1,-1.614006937E-1,1.067621405E0
9.110058334E-1,6.144552416E-1,6.379259652E-1,-1.512300467E-1,8.985406546E-1
9.209568333E-1,4.207026346E-1,5.160849014E-1,-9.790519416E-2,6.729931346E-1
9.309088333E-1,3.591371548E-1,3.236623898E-1,-1.807573164E-1,5.161492478E-1
9.408608333E-1,3.520469673E-1,2.183224609E-1,-2.478307271E-1,4.827233508E-1
9.508118334E-1,3.136712524E-1,2.357685059E-1,-3.214576972E-1,5.072588038E-1
9.607638334E-1,2.824393367E-1,1.813373601E-1,-3.439700621E-1,4.805940291E-1
9.707148334E-1,3.125063043E-1,9.945909172E-2,-3.703018284E-1,4.946470917E-1
9.806668333E-1,3.230615884E-1,1.516665414E-1,-4.130771345E-1,5.458976541E-1
9.906188333E-1,3.759511158E-1,2.750974631E-1,-4.136109853E-1,6.229702263E-1
1.000569833E0,5.894195472E-1,3.861220551E-1,-3.972878981E-1,8.089149016E-1
1.010521833E0,7.001700144E-1,5.134326044E-1,-2.460280305E-1,9.024305403E-1
1.020472833E0,5.835153943E-1,5.827215251E-1,1.064327735E-1,8.314941530E-1
1.030424833E0,3.716200832E-1,4.946934476E-1,2.643198752E-1,6.728209939E-1
1.040376833E0,1.604206272E-1,2.334000912E-1,2.080146968E-1,3.513979145E-1
1.050327833E0,-5.836493321E-2,-3.292450190E-2,1.463791966E-1,1.609886874E-1
1.060279833E0,-2.425103456E-1,-1.871679112E-1,9.113236427E-2,3.196063243E-1
1.070230833E0,-3.166552693E-1,-3.006597358E-1,-3.606913447E-2,4.381413228E-1
1.080182833E0,-3.021705101E-1,-3.444156200E-1,-1.800071186E-1,4.922719769E-1
1.090133833E0,-2.547696545E-1,-3.408549580E-1,-2.083210909E-1,4.738009668E-1
1.100085833E0,-1.667174207E-1,-2.837185979E-1,-1.644406611E-1,3.678745332E-1
1.110037833E0,-9.559437454E-2,-2.079337129E-1,-1.084494781E-1,2.532508691E-1
1.119988833E0,-8.866571635E-3,-1.511964253E-1,-6.690734982E-2,1.655764735E-1
1.129940833E0,2.210159808E-2,-8.523486257E-2,1.018134731E-1,1.346084906E-1
1.139891833E0,4.239088822E-2,-2.178672552E-2,3.193696564E-1,3.229065287E-1
1.149843833E0,-4.789790556E-2,5.631833464E-2,5.427192611E-1,5.477318326E-1
1.159795833E0,-2.126166931E-1,6.847118765E-2,8.018251741E-1,8.323567574E-1
1.169746208E0,-2.532451026E-1,-3.196175784E-2,5.778873396E-1,6.317502776E-1
1.179698208E0,-2.723235440E-1,-1.945520675E-1,2.158511353E-1,3.982490831E-1
1.189649208E0,-3.611380355E-1,-2.592053157E-1,2.986348450E-2,4.455332805E-1
1.199601208E0,-3.470003451E-1,-2.444948906E-1,-1.680314362E-2,4.248168272E-1
1.209553208E0,-2.077861438E-1,-1.873561916E-1,-3.817880988E-2,2.823739464E-1
1.219504208E0,-1.678677142E-1,-1.652367595E-1,-7.348429799E-2,2.467441959E-1
1.229456208E0,-2.021236453E-1,-2.098726496E-1,-1.904239333E-1,3.480829950E-1
1.239407208E0,-2.376447313E-1,-2.703401685E-1,-3.411464417E-1,4.959230985E-1
1.249359208E0,-2.611637310E-1,-2.993876740E-1,-4.889324784E-1,6.299955890E-1
1.259311208E0,-3.175400261E-1,-2.835025433E-1,-4.549279958E-1,6.230287647E-1
1.269262208E0,-2.900666093E-1,-1.943985781E-1,-2.899271715E-1,4.538581384E-1
