"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.293652083E-1,-1.778118399E0,1.361924260E0,5.769699115E-1,2.312884998E0
6.393162083E-1,-1.379166822E0,8.730955701E-1,9.036117500E-1,1.865720020E0
6.492682083E-1,-1.808226882E0,5.437621851E-1,8.687389559E-1,2.078477603E0
6.592192083E-1,-2.622005812E0,1.561588841E-1,8.197503984E-1,2.751597861E0
6.691712083E-1,-3.005387569E0,-5.864333376E-2,8.976575303E-1,3.137129663E0
6.791222083E-1,-2.930024268E0,-3.244318834E-1,1.059187447E0,3.132439354E0
6.890732083E-1,-2.348829744E0,-1.639218303E-1,2.030954343E0,3.109444818E0
6.990252083E-1,-1.464331226E0,-3.290480043E-1,3.370439767E0,3.689498984E0
7.089762083E-1,-9.397335094E-1,-8.621903667E-1,4.351819485E0,4.534843341E0
7.189282083E-1,-7.106617465E-1,-8.704454657E-1,4.319034147E0,4.462821013E0
7.288792083E-1,-3.615711314E-1,-9.082042994E-1,3.622745368E0,3.752312985E0
7.388302083E-1,-3.911379428E-1,-1.591980621E0,2.608219539E0,3.080616879E0
7.487822083E-1,-8.550345442E-1,-1.985192279E0,1.567191789E0,2.669861899E0
7.587332083E-1,-1.096912075E0,-1.992894670E0,8.365968114E-1,2.423786189E0
7.686852083E-1,-1.327756202E0,-2.014089511E0,2.340377301E-1,2.423688666E0
7.786362083E-1,-1.751916149E0,-1.827375344E0,-3.914751810E-1,2.561593968E0
7.885882083E-1,-1.717245084E0,-1.528358676E0,-1.132561233E0,2.562714550E0
7.985392083E-1,-1.265339952E0,-1.248404077E0,-1.773563418E0,2.511000823E0
8.084902083E-1,-6.670753585E-1,-1.119308226E0,-2.181714274E0,2.541203969E0
8.184422083E-1,-3.064964996E-1,-1.315682725E0,-2.119489959E0,2.513403832E0
8.283932083E-1,-1.850228967E-1,-1.040182389E0,-1.473263871E0,1.812931137E0
8.383452083E-1,-5.631309955E-2,-7.533685671E-1,-1.169156032E0,1.391998991E0
8.482962083E-1,1.264668144E-1,-8.514684735E-1,-1.393110824E0,1.637605014E0
8.582472083E-1,4.432293984E-1,-7.924314760E-1,-1.664516355E0,1.896052383E0
8.681992083E-1,9.418669391E-1,-5.766231716E-1,-1.951933901E0,2.242688915E0
8.781502083E-1,1.349360056E0,-3.830959748E-1,-2.147064843E0,2.564648617E0
8.881022083E-1,1.346893262E0,-2.664484079E-1,-2.174118741E0,2.571363162E0
8.980532083E-1,9.036005672E-1,-1.859934980E-1,-1.868091846E0,2.083471792E0
9.080052083E-1,2.708010570E-1,-1.934507445E-1,-1.443164744E0,1.481040472E0
9.179562083E-1,-3.406074746E-1,-2.775008149E-1,-1.101647004E0,1.186021195E0
9.279072083E-1,-7.302613941E-1,-4.148175582E-1,-8.452506906E-1,1.191555303E0
9.378592083E-1,-7.995674179E-1,-5.415531801E-1,-5.531302285E-1,1.112897548E0
9.478102083E-1,-5.785257825E-1,-6.582907940E-1,-1.022514296E-1,8.823231864E-1
9.577622083E-1,-2.282694701E-1,-7.619528644E-1,1.388526607E-1,8.074398924E-1
9.677132083E-1,9.791438526E-2,-8.350562163E-1,3.001235461E-1,8.927375057E-1
9.776642083E-1,3.606186565E-1,-7.592991056E-1,3.629349214E-1,9.155887201E-1
9.876162083E-1,4.283309487E-1,-5.758848144E-1,2.479055715E-1,7.593206789E-1
9.975672083E-1,2.430555984E-1,-5.548191968E-1,-1.190820551E-1,6.173175041E-1
1.007519208E0,-5.078255631E-2,-5.537487178E-1,-4.726134843E-1,7.297807999E-1
1.017470208E0,-2.531291633E-1,-5.377850881E-1,-4.766334450E-1,7.618835969E-1
1.027421208E0,-1.974919014E-1,-3.176191463E-1,-1.276838940E-1,3.952064650E-1
1.037373208E0,-1.402740183E-1,1.157035339E-1,4.259035867E-1,4.630960734E-1
1.047324208E0,-1.384053852E-1,4.707986547E-1,1.172581916E0,1.271123823E0
1.057276208E0,-1.046364449E-1,7.632240491E-1,1.752626878E0,1.914460945E0
1.067227208E0,8.552160454E-3,9.330747002E-1,2.062649760E0,2.263896104E0
1.077179208E0,2.319462176E-1,8.862032734E-1,2.268014499E0,2.446026381E0
1.087130208E0,5.691502472E-1,7.215692157E-1,2.403500333E0,2.573209666E0
1.097081208E0,9.782978701E-1,5.447264640E-1,2.460014257E0,2.702862147E0
1.107033208E0,1.346092193E0,4.257385491E-1,2.444574684E0,2.822970579E0
1.116984208E0,1.585418437E0,3.633933431E-1,2.052705401E0,2.619008554E0
1.126935208E0,1.724317730E0,2.314658323E-1,1.242653779E0,2.137998241E0
1.136887208E0,1.707411236E0,-6.185477078E-3,3.851689589E-1,1.750327546E0
1.146838208E0,1.604620109E0,-2.689824450E-1,-2.550590551E-1,1.646879586E0
1.156790208E0,1.454312022E0,-4.767375255E-1,-7.584826881E-1,1.708097806E0
1.166741208E0,1.255725668E0,-6.584885761E-1,-1.082741202E0,1.784035501E0
1.176693208E0,9.512921391E-1,-8.612708920E-1,-1.099275373E0,1.689719098E0
1.186644208E0,6.946566016E-1,-1.025164108E0,-7.789707470E-1,1.462978013E0
1.196595208E0,6.381646778E-1,-1.268392053E0,-1.988228738E-1,1.433737455E0
1.206547208E0,5.884023875E-1,-1.537023226E0,3.014625585E-1,1.673181832E0
1.216498208E0,4.285955717E-1,-1.598937492E0,5.190304363E-1,1.734845198E0
1.226450208E0,4.679996291E-1,-1.698884680E0,5.022992134E-1,1.832358401E0
1.236401208E0,6.842769898E-1,-1.701477482E0,8.816373289E-2,1.836037435E0
1.246352208E0,1.186468468E0,-1.671639579E0,-6.875454372E-1,2.162129746E0
