"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.252643750E-1,1.637261898E0,-9.308978988E0,1.930245117E0,9.646945762E0
6.352153750E-1,2.503155014E0,-9.988521341E0,2.682173661E0,1.064097736E1
6.451673750E-1,4.330320443E0,-8.139401956E0,4.758568763E0,1.037523571E1
6.551193750E-1,6.135384566E0,-7.401977431E0,5.181891389E0,1.092173118E1
6.650713750E-1,6.636003875E0,-8.361436522E0,4.474752224E0,1.157469549E1
6.750233750E-1,7.427148525E0,-7.864797998E0,4.970747262E0,1.190486922E1
6.849743750E-1,7.551443372E0,-7.993487028E0,4.408376679E0,1.184710584E1
6.949263750E-1,7.855419064E0,-8.417504303E0,4.582169961E0,1.239186301E1
7.048783750E-1,8.003544824E0,-8.860373586E0,5.289666683E0,1.305923135E1
7.148303750E-1,8.294999873E0,-9.336067969E0,5.888562484E0,1.380740222E1
7.247823750E-1,8.788244088E0,-9.290239246E0,6.925387840E0,1.454313502E1
7.347333750E-1,9.844405017E0,-9.173185591E0,7.684375142E0,1.549545951E1
7.446853750E-1,1.134057769E1,-8.761392505E0,7.921437637E0,1.637436641E1
7.546373750E-1,1.336739221E1,-7.755281988E0,7.719761907E0,1.727501945E1
7.645893750E-1,1.603824127E1,-6.133635664E0,6.892717692E0,1.850287077E1
7.745413750E-1,1.782687881E1,-4.071306331E0,6.080038331E0,1.927018447E1
7.844923750E-1,1.812360747E1,-2.344771484E0,5.993325292E0,1.923234383E1
7.944443750E-1,1.773842915E1,-1.168487695E0,6.378911743E0,1.888670822E1
8.043963750E-1,1.716180364E1,-7.427226877E-1,6.637189105E0,1.841552118E1
8.143483750E-1,1.640906000E1,-6.739161623E-1,6.806419805E0,1.777747911E1
8.243003750E-1,1.541288390E1,-4.793097156E-1,6.895168844E0,1.689171635E1
8.342513750E-1,1.417508448E1,8.289188325E-2,6.907952612E0,1.576894734E1
8.442033750E-1,1.276890396E1,9.685246146E-1,6.604913059E0,1.440860246E1
8.541553750E-1,1.131290984E1,2.160342116E0,5.916948962E0,1.294833163E1
8.641073750E-1,9.826742917E0,3.531739889E0,4.705671342E0,1.145344515E1
8.740593750E-1,8.536482278E0,4.498986887E0,3.312172263E0,1.020210262E1
8.840103750E-1,7.619301479E0,5.281956545E0,2.312011873E0,9.555010145E0
8.939623750E-1,6.940081308E0,5.872212499E0,1.253234900E0,9.177047778E0
9.039143750E-1,6.320368835E0,6.159561633E0,3.574619275E-1,8.832612340E0
9.138663750E-1,5.708567060E0,6.108287984E0,-2.009173465E-1,8.362971227E0
9.238183750E-1,5.071573141E0,5.794709995E0,-5.417858993E-1,7.719653490E0
9.337693750E-1,4.430178607E0,5.481588088E0,-5.752227634E-1,7.071433496E0
9.437213750E-1,3.933563180E0,5.324107368E0,-3.873833726E-1,6.630920331E0
9.536733750E-1,3.517786093E0,4.976481042E0,-2.566787338E-1,6.099677576E0
9.636253750E-1,3.178915096E0,4.581878770E0,-1.847373699E-1,5.579717031E0
9.735773750E-1,3.426243255E0,4.888810229E0,-1.675659978E-1,5.972243018E0
9.835283750E-1,3.619902160E0,4.298484693E0,1.407259624E-1,5.621429186E0
9.934803750E-1,2.985202104E0,3.532397116E0,5.139720100E-1,4.653324426E0
1.003432375E0,3.531837245E0,4.152095556E0,7.873930764E-1,5.507609253E0
1.013384375E0,4.485469001E0,3.808392127E0,5.561842293E-1,5.910382699E0
1.023336375E0,4.454180258E0,3.232730237E0,6.212257326E-1,5.538608848E0
1.033287375E0,4.072843857E0,2.774901438E0,3.816863573E-1,4.943057712E0
1.043239375E0,4.120341082E0,2.723321394E0,3.838457340E-1,4.953890147E0
1.053191375E0,4.380678126E0,2.859453930E0,8.678472555E-1,5.302827216E0
1.063142958E0,4.442422384E0,2.920502370E0,1.387222677E0,5.494436958E0
1.073094958E0,4.612851179E0,2.797364101E0,1.736758266E0,5.667448384E0
1.083045958E0,4.990737723E0,2.799701234E0,2.434205963E0,6.218613084E0
1.092997958E0,4.821340085E0,2.980076727E0,2.001894412E0,6.011136228E0
1.102949958E0,5.004485697E0,2.708864154E0,1.870397841E0,5.990092668E0
1.112901958E0,4.988280723E0,2.571581470E0,2.239070051E0,6.042301757E0
1.122853958E0,4.732059826E0,2.217506250E0,1.955022254E0,5.579591041E0
1.132804958E0,4.339214643E0,1.841244355E0,1.767862822E0,5.034312609E0
1.142756958E0,4.014157984E0,1.513388050E0,1.742960261E0,4.630520293E0
1.152708958E0,3.711980896E0,1.106898388E0,1.705793020E0,4.232464535E0
1.162660958E0,3.372636566E0,5.847385222E-1,1.675350661E0,3.810957410E0
1.172612958E0,3.079570025E0,-5.791023910E-2,1.804093339E0,3.569573911E0
1.182563958E0,2.698723328E0,-6.424558032E-1,2.037738137E0,3.442126344E0
1.192515958E0,2.336319918E0,-9.925689501E-1,2.377483147E0,3.477931856E0
1.202467958E0,2.012376570E0,-1.163129307E0,2.742587385E0,3.595040307E0
1.212419958E0,1.658280884E0,-1.484067771E0,2.948738574E0,3.694240358E0
1.222370958E0,1.253585733E0,-1.871138245E0,3.090846965E0,3.824391518E0
1.232322958E0,7.695093673E-1,-2.284517680E0,3.181846012E0,3.991905528E0
1.242274958E0,1.421914208E-1,-2.750900372E0,3.214462366E0,4.233254015E0
1.252226958E0,-6.274477547E-1,-3.056486971E0,3.271238245E0,4.520708235E0
1.262178958E0,-1.291477445E0,-3.270751172E0,3.129393564E0,4.707316784E0
1.272129958E0,-1.801763955E0,-3.462102474E0,2.828291779E0,4.819931667E0
1.282081958E0,-2.202000019E0,-3.743088668E0,2.545924473E0,5.034009166E0
1.292033958E0,-2.565186371E0,-4.108256641E0,2.253857805E0,5.342080938E0
1.301985958E0,-2.849900749E0,-4.450524579E0,1.909715835E0,5.619263108E0
1.311937958E0,-3.111727957E0,-4.704395187E0,1.554920822E0,5.850808809E0
1.321888958E0,-3.245659016E0,-5.117298952E0,1.237939607E0,6.184945067E0
1.331840958E0,-3.460603833E0,-5.515834061E0,9.790981346E-1,6.584742776E0
1.341792958E0,-3.706620169E0,-5.783416682E0,7.224205703E-1,6.907158104E0
