"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.994303334E-1,1.470370230E0,2.042085395E0,-1.403641659E-1,2.520278452E0
6.093823334E-1,8.705162171E-1,1.449583232E0,4.602887231E-1,1.752414261E0
6.193343333E-1,7.694146425E-1,6.007063910E-1,4.785577637E-1,1.087135959E0
6.292863333E-1,7.976606409E-1,-4.585015216E-1,6.491403401E-2,9.223339825E-1
6.392373333E-1,5.140891005E-1,-8.149001330E-2,-1.011624441E0,1.137678441E0
6.491893333E-1,3.889890911E-1,6.849694464E-1,-1.988946192E0,2.139252816E0
6.591413334E-1,5.996400051E-1,8.867323002E-1,-2.483822365E0,2.704669268E0
6.690933334E-1,5.810446899E-1,1.180339709E0,-2.588443086E0,2.903593011E0
6.790443333E-1,2.212374441E-1,9.158172280E-1,-2.552849915E0,2.721159659E0
6.889963333E-1,-2.378647327E-1,3.318826979E-1,-2.093237715E0,2.132690762E0
6.989483333E-1,-4.927352151E-1,-7.435991853E-2,-1.715391809E0,1.786305250E0
7.088993333E-1,-3.760474487E-1,-6.161436251E-1,-1.496108358E0,1.661139630E0
7.188513333E-1,-2.771803875E-1,-6.335487396E-1,-1.611155834E0,1.753292929E0
7.288033334E-1,9.599520117E-3,-4.849598801E-1,-2.051117297E0,2.107690775E0
7.387553334E-1,1.016859600E0,-1.627958393E-1,-2.239626267E0,2.465041936E0
7.487063333E-1,1.267063565E0,5.716621014E-1,-2.554205884E0,2.907957245E0
7.586583333E-1,9.798287442E-1,1.546208471E-2,-3.728126228E0,3.854766999E0
7.686103333E-1,6.295793572E-1,4.811264455E-2,-3.649877619E0,3.704091201E0
7.785623333E-1,5.211529756E-1,2.554932109E-1,-3.378919984E0,3.428407424E0
7.885133334E-1,3.052082849E-1,4.377617401E-1,-2.162453545E0,2.227328618E0
7.984653334E-1,3.406658737E-1,7.326634303E-1,-1.368858327E0,1.589535171E0
8.084173333E-1,4.167928208E-1,4.582074067E-1,-1.493310465E0,1.616677590E0
